FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
1551.0,1.399999999999999e-07,5.518899346790083e-07,3.7499999999999996e-07,4.5968059563135786e-07,4.0028115119250865e-07,4.719285379141633e-07,1.2134876437867967,1.3526836997107843
1556.2099999999996,-4.75e-08,3.9761004765976416e-08,-1.5249999999999997e-07,5.662099875487891e-08,1.5972632844963284e-07,5.5337395212615465e-08,-1.872747488625146,0.2600002028479066
1561.1539999999995,-1.0999999999999998e-07,3.213253802611925e-08,-1.9249999999999993e-07,1.9129492936301267e-08,2.2171208807821004e-07,2.3022042113525096e-08,-2.0899424410414196,0.13291570698412083
1565.8440000000005,-8.249999999999999e-08,1.812284469943943e-08,-1.825e-07,1.7774630797853437e-08,2.002810525236973e-07,1.783419434251744e-08,-1.995357707159254,0.09019441791737726
1570.2959999999994,-8.500000000000001e-08,1.806239186818844e-08,-1.6499999999999998e-07,2.347871376374779e-08,1.8560711193270584e-07,2.2451326162258695e-08,-2.046491545649889,0.10411531420420203
1574.5200000000002,-6e-08,1.3038404810405296e-08,-1.7249999999999996e-07,1.6384062377810943e-08,1.8263693492828876e-07,1.6056573543658077e-08,-1.9055331641117113,0.07358665348864203
1578.5279999999993,-7.250000000000002e-08,2.3042081069209e-08,-1.6500000000000003e-07,2.2388613177238112e-08,1.8022555312718563e-07,2.2495647442088728e-08,-1.9847953294070966,0.12727161262429398
1582.3319999999994,-8.000000000000001e-08,9.889388252060893e-08,-1.1e-07,9.76985158536198e-08,1.3601470508735443e-07,9.81136957682122e-08,-2.1995926132103296,0.7240540036116726
1585.9399999999996,-5.75e-08,1.2386989141837495e-08,-1.949999999999999e-07,1.1124297730643491e-08,2.0330088538911964e-07,1.1230530727862198e-08,-1.8575417309268383,0.0604559878569401
1589.3660000000007,-4.5e-08,1.3181426326464068e-08,-1.7749999999999997e-07,1.2487493743742177e-08,1.8311540077229984e-07,1.2530491701206228e-08,-1.8190862360979647,0.07176107769131196
1592.6160000000007,-6.250000000000001e-08,1.4947825928876744e-08,-2.0000000000000004e-07,1.2247448713915889e-08,2.0953818267800266e-07,1.2511338274111712e-08,-1.873681195169868,0.07028627413880999
1595.7000000000005,-8.250000000000002e-08,1.511414900019184e-08,-2.0000000000000004e-07,1.6955824957813167e-08,2.163475213631994e-07,1.670064455568238e-08,-1.9620319059220708,0.07116165561263625
