FQ,QX,dQX,QY,dQY,A,dA,phi,dphi
3847.6000000000004,-5.75e-08,1.1871710070583764e-08,-1.8749999999999995e-07,9.921567416492213e-09,1.9611858657455184e-07,1.0103999946413649e-08,-1.8683580515327025,0.059743615388300746
3924.8493509941204,-6e-08,1.1510864433221336e-08,-1.8749999999999998e-07,8.569568250501305e-09,1.9686607122610028e-07,8.88390183991844e-09,-1.8804992713373527,0.057247240881819234
3995.9109560021216,-8.5e-08,1.0665364503850771e-08,-2.0749999999999997e-07,8.120190884455856e-09,2.2423480996491155e-07,8.532746394432257e-09,-1.959584088084936,0.04610464255635262
4061.280459322578,-9.249999999999996e-08,1.0767427733679013e-08,-1.7749999999999994e-07,5.5621488653217465e-09,2.0015618901248088e-07,7.006508841544829e-09,-2.05120214337794,0.049404272328055714
4121.413803677549,-6.75e-08,1.3818013605435476e-08,-1.8999999999999993e-07,5.700877125495689e-09,2.0163395051429204e-07,7.089126656813323e-09,-1.9121522120487435,0.0652660673070998
4176.730410346367,-6.25e-08,1.1659223816361018e-08,-2.0249999999999997e-07,9.6663074645906e-09,2.1192569452522736e-07,9.855654397423198e-09,-1.8701625608522487,0.05426247174296485
4227.61610456769,-6e-08,1.3964240043768941e-08,-1.8749999999999995e-07,1.1110243021644486e-08,1.9686607122610026e-07,1.1405473026104694e-08,-1.880499271337353,0.06971320243075009
4274.425806614104,-8.249999999999999e-08,1.552216157627538e-08,-1.6499999999999998e-07,1.2796483892069728e-08,1.8447560814373262e-07,1.3386093530227554e-08,-2.0344439357957027,0.08140185886245244
4317.486007309093,-6.500000000000001e-08,1.4620191517213446e-08,-1.9499999999999999e-07,8.587782018658833e-09,2.0554804791094465e-07,9.367496997597596e-09,-1.892546881191539,0.06875907686180475
4357.097045252772,-6.250000000000001e-08,1.4947825928876744e-08,-1.7500000000000002e-07,1.1456439237389599e-08,1.8582585934148134e-07,1.1902875712458914e-08,-1.9138202672156,0.07854035820360951
4393.535201639676,-6.750000000000002e-08,1.7056890103415685e-08,-1.8749999999999995e-07,6.9597054535375276e-09,1.992799538337963e-07,8.73268217447194e-09,-1.9163519073766089,0.08139718882815207
4427.054627279681,-6.499999999999999e-08,1.5041608956491323e-08,-1.825e-07,1.0767427733679015e-08,1.937298376605937e-07,1.1329417159428651e-08,-1.9129522118780768,0.07548134639780531
4457.889115262711,-4e-08,1.1510864433221336e-08,-1.5999999999999995e-07,1.604680653588121e-08,1.6492422502470639e-07,1.581603802548316e-08,-1.8157749899217608,0.07170531534785235
4486.253731631343,-3.75e-08,1.0532687216470445e-08,-1.8249999999999995e-07,1.0170422803403996e-08,1.8631290883886704e-07,1.0185349040353044e-08,-1.7734549959423729,0.05645477791666405
4512.346315434988,-6.999999999999999e-08,1.2449899597988732e-08,-1.8999999999999995e-07,1.1510864433221336e-08,2.024845673131658e-07,1.1627081507852427e-08,-1.923786714621807,0.060949994619691264
